system,instances,throughput,latency
BitShares,200,384,2817.837930
BitShares,250,781,6685.691025
BitShares,300,975,13890.789070
BitShares,350,1466,15456.089665
BitShares,400,569,15623.707090
BitShares,450,976,14045.656898
BitShares,500,380,14482.432958
Waves,50,96,6556.579151
Waves,100,83,10751.861053
Waves,150,79,34897.221576
Waves,200,49,51933.624473
Waves,250,12,33570.161017
Waves,400,8,4925.839286
Waves,450,0,5318.285714
Waves,500,0,6943.000000
Waves,50,95,6730.816867
Waves,100,81,12589.203458
Waves,150,68,33723.648253
Waves,200,53,40553.940179
Waves,250,30,51731.088908
Waves,450,0,5346.214286
Waves,500,0,7034.000000
Waves,50,94,6434.126302
Waves,100,84,10346.335941
Waves,150,69,37678.368697
Waves,200,54,44149.898882
Waves,250,17,31768.247788
Waves,400,59,5219.564738
Waves,450,0,4822.500000
Waves,500,0,7349.285714
Waves,50,97,6624.242119
Waves,100,66,10200.019737
Waves,150,67,41044.998824
Waves,200,36,44969.517454
Waves,250,14,31827.067485
Waves,300,14,33277.379310
Waves,400,1,5026.500000
Waves,450,0,5152.285714
Waves,500,0,7251.833333
Waves,50,95,6455.455497
Waves,100,82,11130.804430
Waves,150,69,41650.681768
Waves,200,21,45311.364017
Waves,250,14,36864.147783
Waves,400,51,5213.585366
Waves,450,0,5435.785714
Waves,500,0,7004.714286
Waves,50,99,5482.148260
Waves,100,67,20615.464902
Waves,150,69,39086.146722
Waves,200,21,59368.417062
Waves,400,13,47554.542857
Waves,450,0,5463.071429
Waves,500,0,5471.000000
