policy,instances,throughput,latency
RESTRICT,600,615,0.088540
RESTRICT+INC_SET(2),600,616,0.119788
none,700,716,0.062651
INC_SET(2),700,715,0.074463
RESTRICT,700,717,0.088149
RESTRICT+INC_SET(2),700,717,0.110236
none,800,815,0.063033
INC_SET(2),800,813,0.072998
RESTRICT,800,820,0.089010
RESTRICT+INC_SET(2),800,823,0.106087
none,900,915,0.060394
INC_SET(2),900,916,0.073542
RESTRICT,900,921,0.090998
RESTRICT+INC_SET(2),900,923,0.105084
none,1000,1014,0.064276
INC_SET(2),1000,1015,0.074011
RESTRICT,1000,1022,0.091628
RESTRICT+INC_SET(2),1000,1038,0.125910
none,100,104,0.051928
INC_SET(2),100,106,0.067069
RESTRICT,100,105,0.083891
RESTRICT+INC_SET(2),100,106,0.098891
none,200,207,0.060851
INC_SET(2),200,206,0.071893
RESTRICT,200,207,0.083312
RESTRICT+INC_SET(2),200,210,0.103910
none,300,308,0.059246
INC_SET(2),300,309,0.070057
RESTRICT,300,310,0.084236
RESTRICT+INC_SET(2),300,312,0.107226
none,400,410,0.061147
INC_SET(2),400,409,0.072017
RESTRICT,400,411,0.088561
RESTRICT+INC_SET(2),400,414,0.101568
none,500,510,0.056491
INC_SET(2),500,513,0.070508
RESTRICT,500,514,0.091186
RESTRICT+INC_SET(2),500,515,0.107134
none,600,614,0.061801
INC_SET(2),600,612,0.071518
RESTRICT,600,615,0.088806
RESTRICT+INC_SET(2),600,618,0.125980
none,700,712,0.060835
INC_SET(2),700,712,0.073591
RESTRICT,700,725,0.091805
RESTRICT+INC_SET(2),700,733,0.109313
none,800,813,0.062628
INC_SET(2),800,816,0.073071
RESTRICT,800,824,0.090887
RESTRICT+INC_SET(2),800,821,0.111031
none,900,914,0.062276
INC_SET(2),900,914,0.071741
RESTRICT,900,919,0.091880
RESTRICT+INC_SET(2),900,918,0.112651
none,1000,1014,0.061417
INC_SET(2),1000,1018,0.072920
RESTRICT,1000,1022,0.089959
RESTRICT+INC_SET(2),1000,1019,0.117529
none,100,105,0.061257
INC_SET(2),100,105,0.063241
RESTRICT,100,105,0.085539
RESTRICT+INC_SET(2),100,106,0.095206
none,200,207,0.056168
INC_SET(2),200,206,0.067602
RESTRICT,200,210,0.083628
RESTRICT+INC_SET(2),200,210,0.095277
none,300,307,0.059651
INC_SET(2),300,308,0.073845
RESTRICT,300,311,0.088214
RESTRICT+INC_SET(2),300,313,0.099972
none,400,409,0.061003
INC_SET(2),400,411,0.072609
RESTRICT,400,414,0.089668
RESTRICT+INC_SET(2),400,414,0.101433
none,500,512,0.059478
INC_SET(2),500,512,0.073757
RESTRICT,500,514,0.089335
RESTRICT+INC_SET(2),500,516,0.101647
none,600,613,0.060206
INC_SET(2),600,614,0.072582
RESTRICT,600,618,0.089786
RESTRICT+INC_SET(2),600,615,0.104835
none,700,714,0.061075
INC_SET(2),700,714,0.072959
RESTRICT,700,719,0.089368
RESTRICT+INC_SET(2),700,715,0.112468
none,800,815,0.062872
INC_SET(2),800,813,0.073051
RESTRICT,800,819,0.090432
RESTRICT+INC_SET(2),800,821,0.113845
none,900,914,0.059251
INC_SET(2),900,913,0.073055
RESTRICT,900,924,0.091735
RESTRICT+INC_SET(2),900,919,0.109874
none,1000,1015,0.063665
INC_SET(2),1000,1015,0.072479
RESTRICT,1000,1018,0.091389
RESTRICT+INC_SET(2),1000,1021,0.111233
none,100,105,0.054294
INC_SET(2),100,105,0.067750
RESTRICT,100,105,0.078535
RESTRICT+INC_SET(2),100,105,0.093547
none,200,206,0.060235
INC_SET(2),200,207,0.069998
RESTRICT,200,209,0.082870
RESTRICT+INC_SET(2),200,209,0.102947
none,300,309,0.061588
INC_SET(2),300,309,0.074311
RESTRICT,300,310,0.086297
RESTRICT+INC_SET(2),300,311,0.100190
none,400,409,0.060043
INC_SET(2),400,410,0.072456
RESTRICT,400,412,0.088903
RESTRICT+INC_SET(2),400,413,0.104371
none,500,511,0.059270
INC_SET(2),500,513,0.072003
RESTRICT,500,519,0.085733
RESTRICT+INC_SET(2),500,514,0.106155
none,600,611,0.060683
INC_SET(2),600,611,0.073543
RESTRICT,600,618,0.089985
RESTRICT+INC_SET(2),600,618,0.104602
none,700,712,0.060525
INC_SET(2),700,714,0.071144
RESTRICT,700,717,0.089191
RESTRICT+INC_SET(2),700,719,0.112033
none,800,813,0.061797
INC_SET(2),800,817,0.071848
RESTRICT,800,819,0.092392
RESTRICT+INC_SET(2),800,818,0.106575
none,900,914,0.062113
INC_SET(2),900,918,0.075053
RESTRICT,900,918,0.091407
RESTRICT+INC_SET(2),900,922,0.108153
none,1000,1016,0.062354
INC_SET(2),1000,1018,0.073413
RESTRICT,1000,1021,0.090272
RESTRICT+INC_SET(2),1000,1019,0.110807
none,100,105,0.053289
INC_SET(2),100,104,0.062515
RESTRICT,100,106,0.082912
RESTRICT+INC_SET(2),100,105,0.095027
none,200,207,0.057946
INC_SET(2),200,209,0.072422
RESTRICT,200,209,0.087162
RESTRICT+INC_SET(2),200,208,0.099179
none,300,308,0.060191
INC_SET(2),300,308,0.069699
RESTRICT,300,311,0.089426
RESTRICT+INC_SET(2),300,313,0.103121
none,400,409,0.058947
INC_SET(2),400,411,0.071661
RESTRICT,400,412,0.085804
RESTRICT+INC_SET(2),400,414,0.103809
none,500,513,0.061791
INC_SET(2),500,511,0.074501
RESTRICT,500,515,0.086872
RESTRICT+INC_SET(2),500,514,0.104290
none,600,613,0.058451
INC_SET(2),600,612,0.073324
RESTRICT,600,617,0.089378
RESTRICT+INC_SET(2),600,616,0.105716
none,700,712,0.060845
INC_SET(2),700,713,0.071184
RESTRICT,700,716,0.087803
RESTRICT+INC_SET(2),700,719,0.109131
none,800,815,0.061149
INC_SET(2),800,815,0.074281
RESTRICT,800,820,0.090851
RESTRICT+INC_SET(2),800,821,0.107682
none,900,915,0.061602
INC_SET(2),900,917,0.076833
RESTRICT,900,919,0.092785
RESTRICT+INC_SET(2),900,921,0.106988
none,1000,1016,0.062885
INC_SET(2),1000,1015,0.072137
RESTRICT,1000,1020,0.089330
RESTRICT+INC_SET(2),1000,1022,0.110232
none,100,105,0.058236
INC_SET(2),100,105,0.067275
RESTRICT,100,106,0.085005
RESTRICT+INC_SET(2),100,106,0.090670
none,200,207,0.059716
INC_SET(2),200,208,0.071098
RESTRICT,200,210,0.081068
RESTRICT+INC_SET(2),200,209,0.100975
